iter	Passed	Remaining
0	39	39840
1	74	37214
2	111	37040
3	146	36437
4	180	36008
5	214	35598
6	249	35376
7	283	35205
8	319	35144
9	352	34904
10	386	34788
11	421	34694
12	455	34557
13	490	34518
14	523	34400
15	558	34319
16	591	34213
17	625	34113
18	658	34006
19	692	33950
20	726	33883
21	760	33803
22	796	33833
23	830	33783
24	863	33690
25	898	33674
26	934	33659
27	968	33603
28	1002	33563
29	1036	33516
30	1070	33454
31	1105	33436
32	1149	33670
33	1185	33679
34	1219	33635
35	1255	33612
36	1288	33535
37	1322	33480
38	1355	33409
39	1389	33343
40	1426	33367
41	1461	33343
42	1495	33282
43	1528	33214
44	1564	33193
45	1598	33145
46	1632	33097
47	1666	33048
48	1700	33001
49	1734	32957
50	1768	32904
51	1802	32862
52	1835	32800
53	1869	32752
54	1903	32701
55	1936	32651
56	1970	32601
57	2005	32567
58	2038	32506
59	2071	32449
60	2103	32382
61	2136	32328
62	2170	32277
63	2204	32237
64	2238	32192
65	2270	32133
66	2304	32085
67	2337	32043
68	2370	31989
69	2404	31940
70	2436	31886
71	2469	31831
72	2503	31789
73	2537	31749
74	2570	31701
75	2603	31658
76	2638	31624
77	2672	31584
78	2705	31536
79	2738	31493
80	2771	31440
81	2804	31395
82	2837	31346
83	2869	31296
84	2902	31247
85	2934	31192
86	2968	31152
87	3001	31105
88	3035	31068
89	3068	31029
90	3102	30989
91	3136	30957
92	3168	30903
93	3201	30856
94	3234	30811
95	3266	30763
96	3299	30718
97	3333	30677
98	3367	30649
99	3400	30604
100	3433	30564
101	3467	30523
102	3499	30477
103	3532	30436
104	3565	30395
105	3598	30353
106	3631	30307
107	3663	30259
108	3696	30214
109	3727	30162
110	3760	30116
111	3793	30074
112	3826	30036
113	3859	29992
114	3891	29948
115	3925	29912
116	3957	29869
117	3990	29828
118	4025	29798
119	4057	29754
120	4089	29709
121	4123	29674
122	4156	29632
123	4188	29589
124	4220	29544
125	4253	29504
126	4285	29455
127	4318	29419
128	4351	29381
129	4382	29330
130	4415	29288
131	4448	29252
132	4482	29219
133	4514	29176
134	4547	29135
135	4579	29092
136	4613	29060
137	4645	29018
138	4679	28983
139	4711	28941
140	4744	28904
141	4776	28859
142	4807	28812
143	4840	28772
144	4871	28727
145	4904	28686
146	4936	28647
147	4969	28610
148	5002	28569
149	5035	28532
150	5067	28491
151	5099	28447
152	5129	28398
153	5162	28359
154	5194	28315
155	5225	28269
156	5258	28233
157	5289	28188
158	5322	28150
159	5354	28112
160	5387	28076
161	5420	28037
162	5452	27997
163	5484	27958
164	5517	27922
165	5550	27885
166	5582	27846
167	5615	27808
168	5646	27764
169	5678	27724
170	5709	27679
171	5741	27640
172	5774	27602
173	5805	27559
174	5836	27514
175	5868	27476
176	5900	27437
177	5932	27394
178	5964	27356
179	5996	27315
180	6027	27275
181	6059	27232
182	6091	27194
183	6122	27153
184	6154	27114
185	6186	27072
186	6217	27032
187	6249	26992
188	6281	26955
189	6314	26919
190	6346	26881
191	6377	26839
192	6409	26801
193	6442	26767
194	6474	26726
195	6506	26690
196	6538	26652
197	6570	26615
198	6602	26574
199	6633	26534
200	6666	26500
201	6696	26455
202	6728	26417
203	6760	26377
204	6792	26341
205	6822	26297
206	6853	26256
207	6886	26222
208	6917	26182
209	6950	26146
210	6981	26106
211	7013	26068
212	7044	26027
213	7075	25988
214	7107	25949
215	7138	25909
216	7169	25869
217	7202	25835
218	7233	25797
219	7264	25755
220	7296	25718
221	7327	25680
222	7358	25640
223	7391	25605
224	7422	25565
225	7452	25523
226	7483	25484
227	7514	25444
228	7545	25403
229	7576	25364
230	7608	25330
231	7639	25289
232	7671	25252
233	7703	25217
234	7734	25177
235	7766	25142
236	7796	25101
237	7827	25061
238	7860	25027
239	7892	24992
240	7922	24951
241	7953	24911
242	7984	24874
243	8015	24835
244	8048	24803
245	8079	24764
246	8109	24722
247	8140	24682
248	8169	24640
249	8200	24601
250	8231	24563
251	8261	24523
252	8292	24485
253	8326	24455
254	8357	24418
255	8387	24375
256	8417	24334
257	8448	24296
258	8480	24263
259	8511	24226
260	8542	24186
261	8575	24155
262	8606	24118
263	8637	24081
264	8668	24043
265	8700	24007
266	8730	23967
267	8759	23925
268	8789	23884
269	8820	23847
270	8852	23812
271	8884	23778
272	8914	23739
273	8946	23703
274	8976	23665
275	9007	23628
276	9038	23590
277	9068	23552
278	9101	23520
279	9133	23485
280	9164	23448
281	9197	23418
282	9228	23381
283	9259	23344
284	9290	23306
285	9323	23275
286	9354	23240
287	9387	23208
288	9417	23168
289	9447	23130
290	9478	23093
291	9508	23054
292	9540	23021
293	9572	22986
294	9602	22947
295	9632	22910
296	9664	22876
297	9695	22840
298	9728	22809
299	9758	22769
300	9790	22735
301	9822	22702
302	9852	22664
303	9883	22627
304	9913	22588
305	9945	22555
306	9975	22516
307	10005	22480
308	10037	22446
309	10071	22417
310	10101	22378
311	10131	22340
312	10160	22302
313	10194	22271
314	10223	22232
315	10254	22196
316	10285	22160
317	10315	22123
318	10345	22085
319	10378	22053
320	10408	22015
321	10438	21979
322	10470	21945
323	10500	21909
324	10531	21873
325	10561	21835
326	10592	21799
327	10624	21766
328	10655	21731
329	10685	21694
330	10714	21656
331	10748	21626
332	10777	21586
333	10809	21553
334	10838	21515
335	10871	21484
336	10905	21455
337	10934	21416
338	10962	21376
339	10993	21340
340	11024	21305
341	11055	21271
342	11084	21232
343	11113	21193
344	11142	21154
345	11170	21114
346	11201	21079
347	11235	21049
348	11269	21021
349	11299	20984
350	11332	20954
351	11361	20915
352	11389	20875
353	11420	20839
354	11451	20806
355	11483	20773
356	11516	20742
357	11544	20703
358	11573	20665
359	11604	20630
360	11635	20595
361	11663	20556
362	11694	20521
363	11723	20483
364	11754	20448
365	11786	20417
366	11817	20383
367	11849	20349
368	11879	20313
369	11909	20279
370	11944	20251
371	11978	20221
372	12009	20187
373	12037	20148
374	12066	20110
375	12096	20074
376	12124	20035
377	12152	19996
378	12183	19963
379	12214	19928
380	12246	19896
381	12279	19865
382	12309	19829
383	12339	19793
384	12368	19757
385	12398	19722
386	12428	19686
387	12456	19647
388	12483	19607
389	12512	19571
390	12545	19539
391	12573	19501
392	12607	19472
393	12634	19433
394	12663	19396
395	12691	19358
396	12721	19322
397	12754	19291
398	12786	19260
399	12818	19228
400	12846	19190
401	12875	19152
402	12907	19121
403	12935	19082
404	12964	19046
405	12994	19011
406	13028	18982
407	13058	18947
408	13090	18915
409	13123	18885
410	13156	18853
411	13190	18825
412	13223	18794
413	13250	18754
414	13277	18716
415	13303	18676
416	13335	18644
417	13368	18612
418	13395	18575
419	13424	18538
420	13453	18502
421	13487	18472
422	13518	18439
423	13546	18402
424	13573	18363
425	13601	18326
426	13631	18292
427	13657	18252
428	13690	18222
429	13722	18190
430	13748	18150
431	13776	18113
432	13803	18074
433	13832	18039
434	13858	18000
435	13888	17965
436	13917	17930
437	13951	17901
438	13978	17863
439	14005	17825
440	14031	17785
441	14061	17751
442	14088	17713
443	14120	17681
444	14149	17646
445	14176	17609
446	14204	17573
447	14233	17538
448	14261	17501
449	14292	17468
450	14319	17431
451	14346	17393
452	14378	17362
453	14408	17328
454	14434	17290
455	14461	17251
456	14497	17225
457	14530	17195
458	14561	17162
459	14587	17124
460	14613	17086
461	14644	17054
462	14678	17024
463	14704	16986
464	14731	16949
465	14765	16919
466	14797	16888
467	14829	16857
468	14855	16818
469	14882	16782
470	14914	16751
471	14944	16717
472	14973	16683
473	15000	16646
474	15026	16607
475	15060	16579
476	15091	16547
477	15122	16514
478	15154	16483
479	15183	16448
480	15215	16418
481	15243	16381
482	15277	16352
483	15303	16315
484	15330	16278
485	15356	16241
486	15388	16210
487	15415	16173
488	15444	16139
489	15472	16104
490	15504	16072
491	15530	16035
492	15557	15999
493	15582	15961
494	15612	15927
495	15638	15890
496	15670	15859
497	15698	15824
498	15732	15795
499	15760	15760
500	15787	15724
501	15822	15696
502	15849	15660
503	15885	15633
504	15914	15599
505	15943	15565
506	15977	15536
507	16010	15506
508	16042	15475
509	16069	15439
510	16101	15408
511	16127	15371
512	16153	15334
513	16186	15304
514	16212	15268
515	16238	15231
516	16264	15194
517	16293	15161
518	16325	15130
519	16360	15101
520	16390	15069
521	16425	15040
522	16452	15005
523	16485	14975
524	16515	14942
525	16541	14905
526	16576	14877
527	16604	14843
528	16629	14806
529	16662	14776
530	16688	14740
531	16715	14704
532	16741	14668
533	16774	14638
534	16800	14602
535	16827	14567
536	16854	14531
537	16888	14502
538	16914	14466
539	16951	14439
540	16984	14410
541	17012	14376
542	17045	14346
543	17073	14311
544	17100	14276
545	17126	14240
546	17152	14205
547	17178	14169
548	17213	14140
549	17247	14111
550	17272	14074
551	17297	14038
552	17328	14007
553	17362	13977
554	17397	13949
555	17434	13922
556	17465	13890
557	17492	13855
558	17517	13819
559	17551	13790
560	17578	13755
561	17604	13720
562	17630	13684
563	17665	13656
564	17693	13622
565	17720	13588
566	17752	13556
567	17778	13521
568	17804	13486
569	17837	13456
570	17863	13420
571	17888	13384
572	17923	13356
573	17959	13329
574	17990	13297
575	18016	13262
576	18044	13228
577	18071	13194
578	18098	13159
579	18123	13124
580	18149	13088
581	18174	13053
582	18209	13024
583	18245	12996
584	18281	12968
585	18306	12933
586	18341	12904
587	18368	12870
588	18404	12842
589	18430	12807
590	18461	12776
591	18487	12741
592	18521	12711
593	18546	12676
594	18571	12641
595	18597	12606
596	18622	12571
597	18657	12542
598	18688	12510
599	18714	12476
600	18740	12442
601	18766	12406
602	18791	12372
603	18820	12338
604	18848	12306
605	18877	12273
606	18913	12245
607	18943	12213
608	18978	12184
609	19005	12151
610	19041	12123
611	19072	12091
612	19108	12063
613	19142	12034
614	19171	12001
615	19196	11966
616	19223	11932
617	19259	11904
618	19286	11871
619	19314	11837
620	19341	11804
621	19375	11774
622	19403	11741
623	19434	11710
624	19467	11680
625	19493	11646
626	19526	11616
627	19553	11582
628	19579	11548
629	19604	11513
630	19639	11485
631	19667	11452
632	19702	11423
633	19738	11394
634	19764	11360
635	19801	11332
636	19827	11299
637	19861	11269
638	19887	11235
639	19912	11200
640	19939	11167
641	19963	11132
642	19991	11099
643	20024	11069
644	20053	11036
645	20086	11007
646	20118	10976
647	20152	10947
648	20185	10916
649	20218	10886
